Fecha,DV,VV
2026-04-27 13:40:00,266.0,4.4
2026-04-27 13:50:00,330.0,4.6
2026-04-27 14:00:00,34.0,4.8
2026-04-27 14:10:00,30.0,4.3
2026-04-27 14:20:00,9.0,5.4
2026-04-27 14:30:00,54.0,4.3
2026-04-27 14:40:00,317.0,4.8
2026-04-27 14:50:00,273.0,5.0
2026-04-27 15:00:00,346.0,4.2
2026-04-27 15:10:00,22.0,5.2
2026-04-27 15:20:00,6.0,4.4
2026-04-27 15:30:00,3.0,4.4
2026-04-27 15:40:00,340.0,5.2
2026-04-27 15:50:00,12.0,4.6
2026-04-27 16:00:00,59.0,5.2
2026-04-27 16:10:00,321.0,4.7
2026-04-27 16:20:00,46.0,4.1
2026-04-27 16:30:00,286.0,4.6
2026-04-27 16:40:00,109.0,4.6
2026-04-27 16:50:00,192.0,4.2
2026-04-27 17:00:00,95.0,4.4
2026-04-27 17:10:00,114.0,4.3
2026-04-27 17:20:00,100.0,4.9
2026-04-27 17:30:00,124.0,4.0
2026-04-27 17:40:00,100.0,4.4
2026-04-27 17:50:00,110.0,5.0
2026-04-27 18:00:00,106.0,5.0
2026-04-27 18:10:00,105.0,4.3
2026-04-27 18:20:00,108.0,4.2
2026-04-27 18:30:00,97.0,4.0
2026-04-27 18:40:00,185.0,4.4
2026-04-27 18:50:00,119.0,3.9
2026-04-27 19:00:00,130.0,4.2
2026-04-27 19:10:00,168.0,4.3
2026-04-27 19:20:00,128.0,4.1
2026-04-27 19:30:00,97.0,4.0
2026-04-27 19:40:00,86.0,4.7
2026-04-27 19:50:00,153.0,4.7
2026-04-27 20:00:00,134.0,4.0
2026-04-27 20:10:00,125.0,4.6
2026-04-27 20:20:00,104.0,4.6
2026-04-27 20:30:00,101.0,4.8
2026-04-27 20:40:00,113.0,5.4
2026-04-27 20:50:00,122.0,4.3
2026-04-27 21:00:00,137.0,4.1
2026-04-27 21:10:00,107.0,4.5
2026-04-27 21:20:00,136.0,4.0
2026-04-27 21:30:00,115.0,4.1
2026-04-27 21:40:00,91.0,4.5
2026-04-27 21:50:00,126.0,3.9
2026-04-27 22:00:00,93.0,4.6
2026-04-27 22:10:00,124.0,4.9
2026-04-27 22:20:00,104.0,5.1
2026-04-27 22:30:00,119.0,5.2
2026-04-27 22:40:00,119.0,5.1
2026-04-27 22:50:00,119.0,4.0
2026-04-27 23:00:00,133.0,5.1
2026-04-27 23:10:00,132.0,4.4
2026-04-27 23:20:00,149.0,4.1
2026-04-27 23:30:00,106.0,4.3
2026-04-27 23:40:00,133.0,3.0
2026-04-27 23:50:00,122.0,3.7
2026-04-28 00:00:00,110.0,4.2
2026-04-28 00:10:00,94.0,4.0
2026-04-28 00:20:00,109.0,3.7
2026-04-28 00:30:00,120.0,4.5
2026-04-28 00:40:00,141.0,3.8
2026-04-28 00:50:00,97.0,3.6
2026-04-28 01:00:00,114.0,3.7
2026-04-28 01:10:00,114.0,3.9
2026-04-28 01:20:00,109.0,3.8
2026-04-28 01:30:00,96.0,3.7
2026-04-28 01:40:00,125.0,4.3
2026-04-28 01:50:00,119.0,3.6
2026-04-28 02:00:00,138.0,4.0
2026-04-28 02:10:00,115.0,4.0
2026-04-28 02:20:00,95.0,4.4
2026-04-28 02:30:00,107.0,4.5
2026-04-28 02:40:00,120.0,4.2
2026-04-28 02:50:00,96.0,4.1
2026-04-28 03:00:00,116.0,4.2
2026-04-28 03:10:00,96.0,3.5
2026-04-28 03:20:00,101.0,3.8
2026-04-28 03:30:00,103.0,3.9
2026-04-28 03:40:00,194.0,3.6
2026-04-28 03:50:00,162.0,3.8
2026-04-28 04:00:00,109.0,3.7
2026-04-28 04:10:00,77.0,3.5
2026-04-28 04:20:00,101.0,3.1
2026-04-28 04:30:00,68.0,3.3
2026-04-28 04:40:00,219.0,3.3
2026-04-28 04:50:00,64.0,3.8
2026-04-28 05:00:00,323.0,3.0
2026-04-28 05:10:00,264.0,3.5
2026-04-28 05:20:00,253.0,3.4
2026-04-28 05:30:00,263.0,3.3
2026-04-28 05:40:00,328.0,3.1
2026-04-28 05:50:00,358.0,3.3
2026-04-28 06:00:00,305.0,3.1
2026-04-28 06:10:00,265.0,3.7
2026-04-28 06:20:00,342.0,2.5
2026-04-28 06:30:00,260.0,3.0
2026-04-28 06:40:00,336.0,3.3
2026-04-28 06:50:00,291.0,3.2
2026-04-28 07:00:00,359.0,2.7
2026-04-28 07:10:00,328.0,3.6
2026-04-28 07:20:00,315.0,2.9
2026-04-28 07:30:00,357.0,3.3
2026-04-28 07:40:00,8.0,3.1
2026-04-28 07:50:00,355.0,3.2
2026-04-28 08:00:00,72.0,3.4
2026-04-28 08:10:00,248.0,2.7
