datetime,velocidad,direccion,tsm,estacion
2025-01-11 11:00:00,2.2,280.0,,SNM Casma
2025-01-11 12:00:00,3.0,282.0,,SNM Casma
2025-01-11 13:00:00,3.9,294.0,,SNM Casma
2025-01-11 14:00:00,3.7,288.0,,SNM Casma
2025-01-11 15:00:00,3.5,259.0,,SNM Casma
2025-01-11 16:00:00,3.6,239.0,,SNM Casma
2025-01-11 17:00:00,2.5,240.0,,SNM Casma
2025-01-11 18:00:00,2.8,232.0,,SNM Casma
2025-01-11 19:00:00,2.8,232.0,,SNM Casma
2025-01-11 20:00:00,0.9,274.0,,SNM Casma
2025-01-11 21:00:00,0.2,337.0,,SNM Casma
2025-01-11 22:00:00,0.4,299.0,,SNM Casma
2025-01-11 23:00:00,0.0,236.0,,SNM Casma
2025-01-12 00:00:00,1.7,222.0,,SNM Casma
2025-01-12 01:00:00,1.9,215.0,,SNM Casma
2025-01-12 02:00:00,1.2,231.0,,SNM Casma
2025-01-12 03:00:00,0.4,276.0,,SNM Casma
2025-01-12 04:00:00,0.4,276.0,,SNM Casma
2025-01-12 05:00:00,0.1,225.0,,SNM Casma
2025-01-12 06:00:00,0.2,333.0,,SNM Casma
2025-01-12 07:00:00,0.0,244.0,,SNM Casma
2025-01-12 08:00:00,0.5,211.0,,SNM Casma
2025-01-12 09:00:00,2.4,248.0,,SNM Casma
2025-01-12 10:00:00,2.4,233.0,,SNM Casma
2025-01-12 11:00:00,2.5,280.0,,SNM Casma
2025-01-12 12:00:00,2.1,275.0,,SNM Casma
2025-01-12 13:00:00,2.8,228.0,,SNM Casma
2025-01-12 14:00:00,3.9,226.0,,SNM Casma
2025-01-12 15:00:00,3.5,233.0,,SNM Casma
2025-01-12 16:00:00,3.2,220.0,,SNM Casma
2025-01-12 17:00:00,2.8,231.0,,SNM Casma
2025-01-12 18:00:00,3.0,216.0,,SNM Casma
2025-01-12 19:00:00,3.0,216.0,,SNM Casma
2025-01-12 20:00:00,1.5,267.0,,SNM Casma
2025-01-12 21:00:00,1.2,272.0,,SNM Casma
2025-01-12 22:00:00,0.4,268.0,,SNM Casma
2025-01-12 23:00:00,0.9,271.0,,SNM Casma
2025-02-01 00:00:00,0.7,335.0,,SNM Casma
2025-02-01 01:00:00,0.0,208.0,,SNM Casma
2025-02-01 02:00:00,0.0,297.0,,SNM Casma
2025-02-01 03:00:00,0.6,350.0,,SNM Casma
2025-02-01 04:00:00,0.0,70.0,,SNM Casma
2025-02-01 05:00:00,0.0,144.0,,SNM Casma
2025-02-01 06:00:00,0.2,247.0,,SNM Casma
2025-02-01 07:00:00,0.1,200.0,,SNM Casma
2025-02-01 08:00:00,0.8,246.0,,SNM Casma
2025-02-01 09:00:00,1.5,222.0,,SNM Casma
2025-02-01 10:00:00,0.8,245.0,,SNM Casma
2025-02-01 11:00:00,1.9,237.0,,SNM Casma
2025-02-01 12:00:00,3.3,232.0,,SNM Casma
2025-02-01 13:00:00,2.7,297.0,,SNM Casma
2025-02-01 14:00:00,2.8,247.0,,SNM Casma
2025-02-01 15:00:00,2.8,247.0,,SNM Casma
2025-02-01 16:00:00,2.9,282.0,,SNM Casma
2025-02-01 17:00:00,2.8,260.0,,SNM Casma
2025-02-01 18:00:00,1.6,229.0,,SNM Casma
2025-02-01 19:00:00,1.6,229.0,,SNM Casma
2025-02-01 20:00:00,0.7,271.0,,SNM Casma
